HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0047980,TG(14:1(9Z)/20:1(11Z)/18:1(9Z)),C55H100O6,856.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,YMPDPPQASWDPRK-GAAGLFOXSA-N
HMDB0047986,"TG(14:1(9Z)/20:1(11Z)/18:3(6Z,9Z,12Z))",C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,WYUKTVBUNYZEPG-UKGLDPHJSA-N
HMDB0047993,"TG(14:1(9Z)/20:1(11Z)/18:3(9Z,12Z,15Z))",C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,TYVUFKFTHSFXIT-XDBIBJELSA-N
HMDB0047981,TG(14:1(9Z)/20:1(11Z)/20:1(11Z)),C57H104O6,884.783291,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,OPZBOXKFTDVAOR-JXQORKFYSA-N
HMDB0047987,TG(14:1(9Z)/20:1(11Z)/20:2n6),C57H102O6,882.767641,[H][C@@](COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,BGODCVGWEBYLGN-UTXPKRQLSA-N
HMDB0047982,"TG(14:1(9Z)/20:1(11Z)/20:3(5Z,8Z,11Z))",C57H100O6,880.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,DHQUEWMLMFUPTL-YSSJDGIJSA-N
HMDB0047988,TG(14:1(9Z)/20:1(11Z)/20:3n6),C57H100O6,880.7519909,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,BCMHHAAVHIRHKO-XLWYRELXSA-N
HMDB0047984,TG(14:1(9Z)/20:1(11Z)/24:1(15Z)),C61H112O6,940.8458913,[H][C@@](COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,UVNIPBFYITWPNW-KCPLLMEXSA-N
HMDB0048123,"TG(14:1(9Z)/20:2n6/18:2(9Z,12Z))",C55H96O6,852.7206908,[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,KTIVGYMIDNMKAU-OKEXGHLUSA-N
HMDB0048119,TG(14:1(9Z)/20:2n6/20:1(11Z)),C57H102O6,882.767641,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,YIKPYYUODQLYRB-ZTDVLWJBSA-N
