HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0033909,2'-Deoxymugineic_acid,C12H20N2O7,304.127051,OC(CCNC(CCN1CCC1C(O)=O)C(O)=O)C(O)=O,CUZKLRTTYZOCSD-UHFFFAOYSA-N
HMDB0000396,2-Ethylhydracrylic_acid,C5H10O3,118.0629942,CCC(CO)C(O)=O,ZMZQVAUJTDKQGE-UHFFFAOYSA-N
HMDB0002098,2'-Fucosyllactose,,488.1741203,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O)O,HWHQUWQCBPAQQH-BWRPKUOHSA-N
HMDB0000439,2-Furoylglycine,C7H7NO4,169.0375077,OC(=O)CNC(=O)C1=CC=CO1,KSPQDMRTZZYQLM-UHFFFAOYSA-N
HMDB0000407,2-Hydroxy-3-methylbutyric_acid,C5H10O3,118.0629942,CC(C)C(O)C(O)=O,NGEWQZIDQIYUNV-UHFFFAOYSA-N
HMDB0000317,2-Hydroxy-3-methylpentanoic_acid,C6H12O3,132.0786442,CC[C@@H](C)[C@@H](O)C(O)=O,RILPIWOPNGRASR-RFZPGFLSSA-N
HMDB0062547,2-Hydroxyacetaminophen_sulfate,C8H9NO6S,247.015058,CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1O,HRLQZTOIKWEZBN-UHFFFAOYSA-N
HMDB0000321,2-Hydroxyadipic_acid,C6H10O5,162.0528234,OC(CCCC(O)=O)C(O)=O,OTTXIFWBPRRYOG-UHFFFAOYSA-N
HMDB0034170,2-Hydroxybenzaldehyde,C7H6O2,122.0367794,OC1=CC=CC=C1C=O,SMQUZDBALVYZAC-UHFFFAOYSA-N
HMDB0000008,2-Hydroxybutyric_acid,C4H8O3,104.0473441,CC[C@H](O)C(O)=O,AFENDNXGAFYKQO-VKHMYHEASA-N
HMDB0001624,2-Hydroxycaproic_acid,C6H12O3,132.0786442,CCCCC(O)C(O)=O,NYHNVHGFPZAZGA-UHFFFAOYSA-N
HMDB0094656,2-Hydroxydecanoate,C10H20O3,188.1412445,CCCCCCCC[C@H](O)C(O)=O,GHPVDCPCKSNJDR-VIFPVBQESA-N
HMDB0059655,2-Hydroxyglutarate,C5H8O5,148.0371734,OC(CCC(O)=O)C(O)=O,HWXBTNAVRSUOJR-UHFFFAOYSA-N
HMDB0060920,2-Hydroxyibuprofen,C13H18O3,222.1255944,CC(C(O)=O)C1=CC=C(CC(C)(C)O)C=C1,UJHKVYPPCJBOSG-UHFFFAOYSA-N
HMDB0242161,2-Hydroxyisobutyrate,C4H7O3,103.0400677,CC(C)(O)C(=O)[O-],BWLBGMIXKSTLSX-UHFFFAOYSA-M
C05999,2-Hydroxypropanal,C3H6O2,74.0368,CC(C=O)O,BSABBBMNWQWLLU-UHFFFAOYSA-N
HMDB0001863,2-Hydroxyvaleric_acid,C5H10O3,118.0629942,CCCC(O)C(O)=O,JRHWHSJDIILJAT-UHFFFAOYSA-N
HMDB0001353,2-Keto-3-deoxy-D-gluconic_acid,C6H10O6,178.047738,OC[C@@H](O)[C@H](O)CC(=O)C(O)=O,WPAMZTWLKIDIOP-NQXXGFSBSA-N
HMDB0011732,2-Keto-L-gluconate,C6H10O7,194.0426527,OCC(O)C(O)C(O)C(=O)C(O)=O,VBUYCZFBVCCYFD-UHFFFAOYSA-N
HMDB0062550,2-Methoxyacetaminophen_sulfate,C9H11NO6S,261.0307081,COC1=CC(OS(O)(=O)=O)=CC=C1NC(C)=O,NZKKXAGORRATJB-UHFFFAOYSA-N
HMDB0029167,2-Methyladipic_acid,C7H12O4,160.0735589,CC(CCCC(O)=O)C(O)=O,JZUMVFMLJGSMRF-UHFFFAOYSA-N
HMDB0000379,2-Methylcitric_acid,C7H10O7,206.0426527,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,YNOXCRMFGMSKIJ-UHFFFAOYSA-N
HMDB0000422,2-Methylglutaric_acid,C6H10O4,146.0579088,CC(CCC(O)=O)C(O)=O,AQYCMVICBNBXNA-UHFFFAOYSA-N
HMDB0094652,"2-Octene,_3,7-dimethyl-,_(Z)-",C10H20,140.1565006,[H]\C(C)=C(\C)CCCC(C)C,ADGIRGGMVLTMJM-BJMVGYQFSA-N
HMDB0240328,2'-O-Methyluridine,C10H14N2O6,258.0851862,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=CC(=O)NC1=O,SXUXMRMBWZCMEN-ZOQUXTDFSA-N
